timestamp,route_id,stop_id,day_of_week,time_of_day,weather_temp,weather_precip,traffic_index,scheduled_minute_of_day,delay_min
2025-09-01T00:00:00,R4,S8,0,0.0,7.28,0.032,1.0,0,4.49
2025-09-01T00:10:00,R5,S2,0,0.16666666666666666,5.81,0.0,1.0,10,3.5
2025-09-01T00:20:00,R2,S8,0,0.3333333333333333,9.44,0.0,1.0,20,6.2
2025-09-01T00:30:00,R1,S5,0,0.5,5.34,0.0,1.0,30,4.43
2025-09-01T00:40:00,R4,S1,0,0.6666666666666666,6.77,0.0,1.0,40,-2.24
2025-09-01T00:50:00,R5,S4,0,0.8333333333333334,4.26,0.0,1.0,50,5.54
2025-09-01T01:00:00,R2,S9,0,1.0,9.21,0.0,1.0,60,3.42
2025-09-01T01:10:00,R1,S9,0,1.1666666666666667,5.19,0.0,1.0,70,3.93
2025-09-01T01:20:00,R5,S5,0,1.3333333333333333,5.08,0.015,1.0,80,3.92
2025-09-01T01:30:00,R5,S10,0,1.5,6.26,0.0,1.0,90,2.63
2025-09-01T01:40:00,R4,S10,0,1.6666666666666665,7.93,0.0,1.0,100,1.64
2025-09-01T01:50:00,R5,S2,0,1.8333333333333335,3.63,0.249,1.0,110,4.79
2025-09-01T02:00:00,R2,S3,0,2.0,7.76,0.0,1.0,120,3.41
2025-09-01T02:10:00,R5,S10,0,2.1666666666666665,6.05,0.0,1.0,130,4.9
2025-09-01T02:20:00,R4,S3,0,2.3333333333333335,5.36,0.0,1.0,140,7.07
2025-09-01T02:30:00,R5,S1,0,2.5,6.93,0.0,1.0,150,2.84
2025-09-01T02:40:00,R1,S8,0,2.6666666666666665,4.93,0.0,1.0,160,5.24
2025-09-01T02:50:00,R3,S10,0,2.8333333333333335,8.34,0.048,1.0,170,7.59
2025-09-01T03:00:00,R4,S3,0,3.0,4.6,0.099,1.0,180,2.97
2025-09-01T03:10:00,R1,S10,0,3.1666666666666665,5.32,0.0,1.0,190,3.24
2025-09-01T03:20:00,R4,S1,0,3.3333333333333335,7.91,0.118,1.0,200,7.57
2025-09-01T03:30:00,R2,S1,0,3.5,7.01,0.043,1.0,210,0.56
2025-09-01T03:40:00,R2,S7,0,3.6666666666666665,6.21,0.0,1.0,220,8.39
2025-09-01T03:50:00,R2,S4,0,3.8333333333333335,6.46,0.0,1.0,230,2.2
2025-09-01T04:00:00,R2,S1,0,4.0,5.84,0.0,1.0,240,3.57
2025-09-01T04:10:00,R4,S9,0,4.166666666666667,4.67,0.165,1.0,250,3.59
2025-09-01T04:20:00,R2,S8,0,4.333333333333333,8.11,0.063,1.0,260,4.89
2025-09-01T04:30:00,R5,S8,0,4.5,6.48,0.065,1.0,270,8.31
2025-09-01T04:40:00,R1,S9,0,4.666666666666667,4.88,0.0,1.0,280,2.62
2025-09-01T04:50:00,R2,S9,0,4.833333333333333,6.88,0.0,1.0,290,4.88
2025-09-01T05:00:00,R5,S5,0,5.0,3.45,0.0,1.0,300,3.54
2025-09-01T05:10:00,R5,S10,0,5.166666666666667,5.96,0.0,1.0,310,7.01
2025-09-01T05:20:00,R1,S4,0,5.333333333333333,6.8,0.228,1.0,320,2.38
2025-09-01T05:30:00,R5,S10,0,5.5,2.45,0.0,1.0,330,5.72
2025-09-01T05:40:00,R2,S1,0,5.666666666666667,6.4,0.0,1.0,340,9.89
2025-09-01T05:50:00,R1,S10,0,5.833333333333333,5.9,0.0,1.0,350,4.7
2025-09-01T06:00:00,R1,S1,0,6.0,8.57,0.0,1.0,360,4.26
2025-09-01T06:10:00,R3,S6,0,6.166666666666667,9.09,0.0,1.0,370,-0.21
2025-09-01T06:20:00,R5,S2,0,6.333333333333333,4.3,0.0,1.0,380,2.5
2025-09-01T06:30:00,R4,S5,0,6.5,3.18,0.004,1.0,390,4.51
2025-09-01T06:40:00,R4,S5,0,6.666666666666667,4.44,0.176,1.0,400,8.95
2025-09-01T06:50:00,R3,S6,0,6.833333333333333,4.72,0.159,1.0,410,3.03
2025-09-01T07:00:00,R5,S5,0,7.0,7.91,0.07,1.0,420,1.11
2025-09-01T07:10:00,R1,S9,0,7.166666666666667,3.07,0.0,1.0,430,4.15
2025-09-01T07:20:00,R1,S5,0,7.333333333333333,6.8,0.0,1.0,440,5.15
2025-09-01T07:30:00,R1,S8,0,7.5,7.33,0.118,1.0,450,4.29
2025-09-01T07:40:00,R5,S4,0,7.666666666666667,4.92,0.0,1.0,460,5.3
2025-09-01T07:50:00,R2,S1,0,7.833333333333333,6.87,0.0,1.0,470,0.36
2025-09-01T08:00:00,R4,S4,0,8.0,10.01,0.006,1.5,480,6.52
2025-09-01T08:10:00,R2,S8,0,8.166666666666666,4.33,0.0,1.5,490,7.26
2025-09-01T08:20:00,R2,S3,0,8.333333333333334,8.21,0.007,1.5,500,5.14
2025-09-01T08:30:00,R4,S5,0,8.5,5.79,0.0,1.5,510,3.04
2025-09-01T08:40:00,R1,S5,0,8.666666666666666,6.13,0.123,1.5,520,4.82
2025-09-01T08:50:00,R5,S1,0,8.833333333333334,6.31,0.0,1.5,530,9.36
2025-09-01T09:00:00,R5,S6,0,9.0,7.53,0.0,1.5,540,3.43
2025-09-01T09:10:00,R5,S10,0,9.166666666666666,4.14,0.182,1.5,550,8.25
2025-09-01T09:20:00,R3,S10,0,9.333333333333334,5.84,0.0,1.5,560,7.94
2025-09-01T09:30:00,R5,S10,0,9.5,7.23,0.231,1.5,570,6.58
2025-09-01T09:40:00,R2,S3,0,9.666666666666666,4.59,0.09,1.5,580,-0.64
2025-09-01T09:50:00,R5,S7,0,9.833333333333334,6.71,0.175,1.5,590,2.46
2025-09-01T10:00:00,R5,S6,0,10.0,4.52,0.0,1.5,600,6.46
2025-09-01T10:10:00,R3,S8,0,10.166666666666666,6.4,0.11,1.5,610,1.97
2025-09-01T10:20:00,R1,S6,0,10.333333333333334,8.45,0.0,1.5,620,7.16
2025-09-01T10:30:00,R1,S9,0,10.5,7.31,0.102,1.5,630,6.14
2025-09-01T10:40:00,R1,S10,0,10.666666666666666,7.31,0.06,1.5,640,16.36
2025-09-01T10:50:00,R3,S10,0,10.833333333333334,8.19,0.121,1.5,650,7.75
2025-09-01T11:00:00,R2,S5,0,11.0,4.74,0.0,1.0,660,2.59
2025-09-01T11:10:00,R5,S1,0,11.166666666666666,10.91,0.0,1.0,670,-1.6
2025-09-01T11:20:00,R5,S1,0,11.333333333333334,5.34,0.0,1.0,680,7.27
2025-09-01T11:30:00,R2,S8,0,11.5,4.85,0.0,1.0,690,5.94
2025-09-01T11:40:00,R2,S8,0,11.666666666666666,6.37,0.0,1.0,700,1.95
2025-09-01T11:50:00,R4,S8,0,11.833333333333334,2.23,0.059,1.0,710,5.46
2025-09-01T12:00:00,R2,S6,0,12.0,4.7,0.0,1.0,720,3.16
2025-09-01T12:10:00,R4,S10,0,12.166666666666666,7.29,0.0,1.0,730,7.9
2025-09-01T12:20:00,R4,S5,0,12.333333333333334,5.33,0.0,1.0,740,2.34
2025-09-01T12:30:00,R4,S4,0,12.5,3.76,0.21,1.0,750,6.85
2025-09-01T12:40:00,R3,S3,0,12.666666666666666,10.53,0.0,1.0,760,6.5
2025-09-01T12:50:00,R2,S6,0,12.833333333333334,8.82,0.0,1.0,770,1.38
2025-09-01T13:00:00,R5,S1,0,13.0,7.17,0.0,1.0,780,6.32
2025-09-01T13:10:00,R1,S2,0,13.166666666666666,-0.2,0.0,1.0,790,-0.87
2025-09-01T13:20:00,R1,S1,0,13.333333333333334,9.55,0.001,1.0,800,-2.29
2025-09-01T13:30:00,R2,S6,0,13.5,9.17,0.0,1.0,810,-0.81
2025-09-01T13:40:00,R5,S7,0,13.666666666666666,4.32,0.0,1.0,820,6.59
2025-09-01T13:50:00,R5,S8,0,13.833333333333334,6.42,0.182,1.0,830,4.24
2025-09-01T14:00:00,R5,S7,0,14.0,9.45,0.0,1.0,840,1.49
2025-09-01T14:10:00,R5,S1,0,14.166666666666666,5.98,0.225,1.0,850,5.76
2025-09-01T14:20:00,R2,S1,0,14.333333333333334,6.84,0.0,1.0,860,0.63
2025-09-01T14:30:00,R2,S1,0,14.5,5.1,0.0,1.0,870,5.05
